"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","3","0 Flaherty Way, D Street / West Broadway, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",641,373,1101
"885","1 Lincoln St, Boston, MA","5","0 Queensberry Street, Fenway/Kenmore, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1152,827,1604
"885","1 Lincoln St, Boston, MA","13","200 Liberty Street, Braintree","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2009,1402,2878
"885","1 Lincoln St, Boston, MA","14","400 Cushing Street, Hingham","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2442,1741,3423
"885","1 Lincoln St, Boston, MA","16","100 Kenrick Street, Oak Square, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1734,1236,2432
"885","1 Lincoln St, Boston, MA","17","0 Maggi Road, Revere","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1621,1194,2199
"885","1 Lincoln St, Boston, MA","18","0 Lake Street, Billerica","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2992,2363,3787
"885","1 Lincoln St, Boston, MA","19","200 Ocean Street, Lynn","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2661,2128,3327
"885","1 Lincoln St, Boston, MA","20","0 Florence Street, Everett","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1659,1050,2620
"885","1 Lincoln St, Boston, MA","21","0 Canal Lane, Somerville","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1158,731,1834
"885","1 Lincoln St, Boston, MA","24","Blue Star Memorial Highway, Bourne","8/28/2017 - 9/24/2017, Weekdays, PM Peak",5007,4660,5378
"885","1 Lincoln St, Boston, MA","27","100 Inner Belt Road, Inner Belt, Somerville","8/28/2017 - 9/24/2017, Weekdays, PM Peak",896,526,1525
"885","1 Lincoln St, Boston, MA","28","0 Lincoln Road, Brookline","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1809,1381,2369
"885","1 Lincoln St, Boston, MA","29","100 Crosby Street, Arlington","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2187,1732,2760
"885","1 Lincoln St, Boston, MA","30","0 Stagecoach Way, Hopkinton","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3093,2276,4202
"885","1 Lincoln St, Boston, MA","32","0 Gainsborough Street, Fenway/Kenmore, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1181,893,1560
"885","1 Lincoln St, Boston, MA","33","200 Prospect Avenue, Revere","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1237,820,1864
"885","1 Lincoln St, Boston, MA","37","0 Perrin Street, Roxbury, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1240,867,1771
"885","1 Lincoln St, Boston, MA","38","McLean Street, Belmont","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2070,1702,2516
"885","1 Lincoln St, Boston, MA","40","0 Aycliffe Road, Swampscott","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2874,2311,3573
"885","1 Lincoln St, Boston, MA","41","200 Sumner Street, East Boston, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1031,689,1542
"885","1 Lincoln St, Boston, MA","46","300 River Street, Cambridgeport, Cambridge","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1000,607,1646
"885","1 Lincoln St, Boston, MA","47","200 Huntington Avenue, Prudential / St. Botolph, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",878,394,1953
"885","1 Lincoln St, Boston, MA","48","100 Gove Street, East Boston, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1001,659,1519
"885","1 Lincoln St, Boston, MA","51","0 Peterborough Street, West Fens, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1162,744,1812
"885","1 Lincoln St, Boston, MA","52","0 Berkshire Street, Wellington-Harrington, Cambridge","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1486,1094,2017
"885","1 Lincoln St, Boston, MA","53","600 Commonwealth Avenue, Fenway/Kenmore, Boston","8/28/2017 - 9/24/2017, Weekdays, PM Peak",577,252,1319
"885","1 Lincoln St, Boston, MA","54","0 Binney Street, Arefth, Cambridge","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1146,755,1739
"885","1 Lincoln St, Boston, MA","58","100 Summit Avenue, Corey Hill, Brookline","8/28/2017 - 9/24/2017, Weekdays, PM Peak",1674,1293,2166
"885","1 Lincoln St, Boston, MA","59","300 Shea Memorial Drive, SouthField, Weymouth","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2704,2093,3492
"885","1 Lincoln St, Boston, MA","60","Pilgrims Highway, Weymouth","8/28/2017 - 9/24/2017, Weekdays, PM Peak",2201,1545,3133
"885","1 Lincoln St, Boston, MA","61","0 Eagle Lane, Wrentham","8/28/2017 - 9/24/2017, Weekdays, PM Peak",3605,2943,4415
