"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","3","0 Flaherty Way, D Street / West Broadway, Boston","8/27/2017 - 10/1/2017, Weekdays, PM Peak",692,398,1202
"885","1 Lincoln St, Boston, MA","5","0 Queensberry Street, Fenway/Kenmore, Boston","8/27/2017 - 10/1/2017, Weekdays, PM Peak",1318,961,1807
"885","1 Lincoln St, Boston, MA","13","200 Liberty Street, Braintree","8/27/2017 - 10/1/2017, Weekdays, PM Peak",1946,1321,2865
"885","1 Lincoln St, Boston, MA","14","400 Cushing Street, Hingham","8/27/2017 - 10/1/2017, Weekdays, PM Peak",2297,1557,3387
"885","1 Lincoln St, Boston, MA","16","100 Kenrick Street, Oak Square, Boston","8/27/2017 - 10/1/2017, Weekdays, PM Peak",1776,1323,2382
"885","1 Lincoln St, Boston, MA","17","0 Maggi Road, Revere","8/27/2017 - 10/1/2017, Weekdays, PM Peak",1497,982,2280
"885","1 Lincoln St, Boston, MA","18","0 Lake Street, Billerica","8/27/2017 - 10/1/2017, Weekdays, PM Peak",2929,2575,3331
"885","1 Lincoln St, Boston, MA","19","200 Ocean Street, Lynn","8/27/2017 - 10/1/2017, Weekdays, PM Peak",2682,2111,3406
"885","1 Lincoln St, Boston, MA","20","0 Florence Street, Everett","8/27/2017 - 10/1/2017, Weekdays, PM Peak",1591,1110,2279
"885","1 Lincoln St, Boston, MA","21","0 Canal Lane, Somerville","8/27/2017 - 10/1/2017, Weekdays, PM Peak",1072,688,1668
"885","1 Lincoln St, Boston, MA","22","200 Chicago Street, Fall River","8/27/2017 - 10/1/2017, Weekdays, PM Peak",4427,3906,5017
"885","1 Lincoln St, Boston, MA","23","0 Ocallaghan Way, Lynn","8/27/2017 - 10/1/2017, Weekdays, PM Peak",2714,2061,3573
"885","1 Lincoln St, Boston, MA","24","Blue Star Memorial Highway, Bourne","8/27/2017 - 10/1/2017, Weekdays, PM Peak",4583,4302,4881
"885","1 Lincoln St, Boston, MA","25","0 Baldpate Road, Georgetown","8/27/2017 - 10/1/2017, Weekdays, PM Peak",2769,2184,3510
"885","1 Lincoln St, Boston, MA","27","100 Inner Belt Road, Inner Belt, Somerville","8/27/2017 - 10/1/2017, Weekdays, PM Peak",864,506,1474
"885","1 Lincoln St, Boston, MA","28","0 Lincoln Road, Brookline","8/27/2017 - 10/1/2017, Weekdays, PM Peak",2001,1573,2544
"885","1 Lincoln St, Boston, MA","29","100 Crosby Street, Arlington","8/27/2017 - 10/1/2017, Weekdays, PM Peak",1931,1389,2684
"885","1 Lincoln St, Boston, MA","30","0 Stagecoach Way, Hopkinton","8/27/2017 - 10/1/2017, Weekdays, PM Peak",3023,2316,3945
