"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","3","0 Flaherty Way, D Street / West Broadway, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",710,433,1162
"885","1 Lincoln St, Boston, MA","5","0 Queensberry Street, Fenway/Kenmore, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1152,841,1577
"885","1 Lincoln St, Boston, MA","13","200 Liberty Street, Braintree","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2085,1497,2903
"885","1 Lincoln St, Boston, MA","14","400 Cushing Street, Hingham","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2455,1854,3249
"885","1 Lincoln St, Boston, MA","16","100 Kenrick Street, Oak Square, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1708,1255,2323
"885","1 Lincoln St, Boston, MA","17","0 Maggi Road, Revere","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1669,1200,2320
"885","1 Lincoln St, Boston, MA","19","200 Ocean Street, Lynn","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2627,2119,3256
"885","1 Lincoln St, Boston, MA","20","0 Florence Street, Everett","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1659,1262,2179
"885","1 Lincoln St, Boston, MA","21","0 Canal Lane, Somerville","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1056,680,1638
"885","1 Lincoln St, Boston, MA","23","0 Ocallaghan Way, Lynn","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2830,2068,3871
"885","1 Lincoln St, Boston, MA","25","0 Baldpate Road, Georgetown","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2979,2494,3558
"885","1 Lincoln St, Boston, MA","27","100 Inner Belt Road, Inner Belt, Somerville","4/7/2017 - 5/21/2017, Weekdays, PM Peak",851,495,1460
"885","1 Lincoln St, Boston, MA","28","0 Lincoln Road, Brookline","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1806,1404,2321
"885","1 Lincoln St, Boston, MA","29","100 Crosby Street, Arlington","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1870,1455,2403
"885","1 Lincoln St, Boston, MA","30","0 Stagecoach Way, Hopkinton","4/7/2017 - 5/21/2017, Weekdays, PM Peak",3117,2438,3985
"885","1 Lincoln St, Boston, MA","32","0 Gainsborough Street, Fenway/Kenmore, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1124,848,1488
"885","1 Lincoln St, Boston, MA","33","200 Prospect Avenue, Revere","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1174,799,1723
"885","1 Lincoln St, Boston, MA","37","0 Perrin Street, Roxbury, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1200,869,1656
"885","1 Lincoln St, Boston, MA","38","McLean Street, Belmont","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1957,1608,2380
"885","1 Lincoln St, Boston, MA","40","0 Aycliffe Road, Swampscott","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2934,2474,3478
"885","1 Lincoln St, Boston, MA","41","200 Sumner Street, East Boston, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",930,622,1389
"885","1 Lincoln St, Boston, MA","44","0 Georgetown Road, Boxford","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2922,2387,3575
"885","1 Lincoln St, Boston, MA","46","300 River Street, Cambridgeport, Cambridge","4/7/2017 - 5/21/2017, Weekdays, PM Peak",952,642,1411
"885","1 Lincoln St, Boston, MA","47","200 Huntington Avenue, Prudential / St. Botolph, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",892,446,1783
"885","1 Lincoln St, Boston, MA","48","100 Gove Street, East Boston, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1070,702,1630
"885","1 Lincoln St, Boston, MA","51","0 Peterborough Street, West Fens, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1115,684,1817
"885","1 Lincoln St, Boston, MA","52","0 Berkshire Street, Wellington-Harrington, Cambridge","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1437,1031,2002
"885","1 Lincoln St, Boston, MA","53","600 Commonwealth Avenue, Fenway/Kenmore, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",585,264,1294
"885","1 Lincoln St, Boston, MA","54","0 Binney Street, Arefth, Cambridge","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1172,783,1752
"885","1 Lincoln St, Boston, MA","58","100 Summit Avenue, Corey Hill, Brookline","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1608,1205,2144
"885","1 Lincoln St, Boston, MA","59","300 Shea Memorial Drive, SouthField, Weymouth","4/7/2017 - 5/21/2017, Weekdays, PM Peak",3403,2834,4085
"885","1 Lincoln St, Boston, MA","60","Pilgrims Highway, Weymouth","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2257,1649,3088
"885","1 Lincoln St, Boston, MA","61","0 Eagle Lane, Wrentham","4/7/2017 - 5/21/2017, Weekdays, PM Peak",3847,3066,4826
"885","1 Lincoln St, Boston, MA","62","200 Pond Street, Avon","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2568,1956,3370
"885","1 Lincoln St, Boston, MA","65","0 Glen Road, Reading","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2444,1677,3561
"885","1 Lincoln St, Boston, MA","68","100 Beacon Street, Back Bay East, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",670,429,1044
"885","1 Lincoln St, Boston, MA","69","0 Burrill Avenue, Lynn","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2802,2363,3322
"885","1 Lincoln St, Boston, MA","72","0 Stonington Street, North Andover","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2561,2171,3020
"885","1 Lincoln St, Boston, MA","77","0 The Mountain Road, Framingham","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2646,2029,3449
"885","1 Lincoln St, Boston, MA","78","0 John Street, Woburn","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2273,2100,2459
"885","1 Lincoln St, Boston, MA","79","Massachusetts State House, Beacon Hill, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",285,69,1173
"885","1 Lincoln St, Boston, MA","80","0 Bussell Road, West Medford, Medford","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1630,1204,2205
"885","1 Lincoln St, Boston, MA","82","100 Private Alley 527, South End, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",821,581,1159
"885","1 Lincoln St, Boston, MA","83","0 Golden Drive, Winthrop","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1632,1243,2141
"885","1 Lincoln St, Boston, MA","89","0 Cottage Street, Lynn","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1977,1448,2698
"885","1 Lincoln St, Boston, MA","92","Southeast Expressway, Quincy","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1513,1044,2191
"885","1 Lincoln St, Boston, MA","94","300 Marlborough Street, Back Bay, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",945,637,1399
"885","1 Lincoln St, Boston, MA","95","0 G Street, South Boston, Boston","4/7/2017 - 5/21/2017, Weekdays, PM Peak",875,639,1198
"885","1 Lincoln St, Boston, MA","97","300 Bishops Forest Drive, Waltham","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2141,1730,2649
"885","1 Lincoln St, Boston, MA","98","100 Suffolk Road, Chestnut Hill, Newton","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1895,1373,2615
"885","1 Lincoln St, Boston, MA","102","0 Baldwin Street, North Easton, Easton","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2863,2146,3819
"885","1 Lincoln St, Boston, MA","105","100 Columbia Street, The Port, Cambridge","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1406,1037,1905
"885","1 Lincoln St, Boston, MA","118","0 County Way Extension, Beverly","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2830,2250,3558
"885","1 Lincoln St, Boston, MA","120","0 Cherrywood Circle, Andover","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2782,2181,3548
"885","1 Lincoln St, Boston, MA","127","200 Vinton Street, Melrose","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1689,1306,2183
"885","1 Lincoln St, Boston, MA","128","100 Glen Street, Malden","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1588,1244,2025
"885","1 Lincoln St, Boston, MA","129","0 Glendale Street, Everett","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1850,1483,2306
"885","1 Lincoln St, Boston, MA","130","0 Cambria Street, Spring Hill, Somerville","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1558,1154,2101
"885","1 Lincoln St, Boston, MA","131","2000 Massachusetts Avenue, North Cambridge, Cambridge","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1920,1477,2495
"885","1 Lincoln St, Boston, MA","132","0 Townsend Road, Belmont","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1683,1340,2112
"885","1 Lincoln St, Boston, MA","134","Yankee Division Highway, Waltham","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2103,1501,2945
"885","1 Lincoln St, Boston, MA","135","100 Orchard Street, Watertown","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1694,1260,2277
"885","1 Lincoln St, Boston, MA","136","200 Adams Avenue, West Newton, Newton","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1372,967,1945
"885","1 Lincoln St, Boston, MA","137","0 Badger Road, Framingham","4/7/2017 - 5/21/2017, Weekdays, PM Peak",2726,2098,3541
"885","1 Lincoln St, Boston, MA","140","100 Montclair Avenue, Quincy","4/7/2017 - 5/21/2017, Weekdays, PM Peak",1181,831,1678
