"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","3","0 Flaherty Way, D Street / West Broadway, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",670,391,1145
"885","1 Lincoln St, Boston, MA","4","0 Moulton Street, Lynn","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1763,1006,3087
"885","1 Lincoln St, Boston, MA","5","0 Queensberry Street, Fenway/Kenmore, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1236,907,1683
"885","1 Lincoln St, Boston, MA","13","200 Liberty Street, Braintree","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1829,1208,2768
"885","1 Lincoln St, Boston, MA","14","400 Cushing Street, Hingham","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2352,1628,3396
"885","1 Lincoln St, Boston, MA","16","100 Kenrick Street, Oak Square, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1727,1273,2342
"885","1 Lincoln St, Boston, MA","17","0 Maggi Road, Revere","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1536,943,2501
"885","1 Lincoln St, Boston, MA","18","0 Lake Street, Billerica","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2728,1938,3838
"885","1 Lincoln St, Boston, MA","19","200 Ocean Street, Lynn","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2610,2007,3393
"885","1 Lincoln St, Boston, MA","20","0 Florence Street, Everett","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1631,1204,2207
"885","1 Lincoln St, Boston, MA","21","0 Canal Lane, Somerville","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1010,616,1654
"885","1 Lincoln St, Boston, MA","23","0 Ocallaghan Way, Lynn","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2329,1670,3247
"885","1 Lincoln St, Boston, MA","24","Blue Star Memorial Highway, Bourne","4/3/2017 - 5/27/2017, Weekdays, PM Peak",5768,4388,7581
"885","1 Lincoln St, Boston, MA","27","100 Inner Belt Road, Inner Belt, Somerville","4/3/2017 - 5/27/2017, Weekdays, PM Peak",849,477,1509
"885","1 Lincoln St, Boston, MA","28","0 Lincoln Road, Brookline","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1869,1460,2392
"885","1 Lincoln St, Boston, MA","29","100 Crosby Street, Arlington","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2001,1467,2729
"885","1 Lincoln St, Boston, MA","30","0 Stagecoach Way, Hopkinton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2929,2068,4147
"885","1 Lincoln St, Boston, MA","32","0 Gainsborough Street, Fenway/Kenmore, Boston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1191,879,1613
