"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","3","0 Flaherty Way, D Street / West Broadway, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",645,372,1116
"885","1 Lincoln St, Boston, MA","4","0 Moulton Street, Lynn","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2362,1706,3270
"885","1 Lincoln St, Boston, MA","5","0 Queensberry Street, Fenway/Kenmore, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1114,770,1611
"885","1 Lincoln St, Boston, MA","13","200 Liberty Street, Braintree","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1936,1195,3135
"885","1 Lincoln St, Boston, MA","14","400 Cushing Street, Hingham","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2323,1578,3417
"885","1 Lincoln St, Boston, MA","16","100 Kenrick Street, Oak Square, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1608,1099,2351
"885","1 Lincoln St, Boston, MA","17","0 Maggi Road, Revere","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1708,1114,2618
"885","1 Lincoln St, Boston, MA","18","0 Lake Street, Billerica","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2850,2104,3858
"885","1 Lincoln St, Boston, MA","19","200 Ocean Street, Lynn","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2530,1867,3426
"885","1 Lincoln St, Boston, MA","20","0 Florence Street, Everett","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1652,1162,2348
"885","1 Lincoln St, Boston, MA","21","0 Canal Lane, Somerville","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1085,637,1847
"885","1 Lincoln St, Boston, MA","22","200 Chicago Street, Fall River","5/29/2017 - 8/24/2017, Weekdays, PM Peak",4796,3949,5824
"885","1 Lincoln St, Boston, MA","23","0 Ocallaghan Way, Lynn","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2356,1660,3342
"885","1 Lincoln St, Boston, MA","24","Blue Star Memorial Highway, Bourne","5/29/2017 - 8/24/2017, Weekdays, PM Peak",4899,3793,6326
"885","1 Lincoln St, Boston, MA","25","0 Baldpate Road, Georgetown","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3518,2769,4469
"885","1 Lincoln St, Boston, MA","27","100 Inner Belt Road, Inner Belt, Somerville","5/29/2017 - 8/24/2017, Weekdays, PM Peak",873,467,1630
"885","1 Lincoln St, Boston, MA","28","0 Lincoln Road, Brookline","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1701,1327,2180
"885","1 Lincoln St, Boston, MA","29","100 Crosby Street, Arlington","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2066,1519,2809
"885","1 Lincoln St, Boston, MA","30","0 Stagecoach Way, Hopkinton","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2660,1917,3689
"885","1 Lincoln St, Boston, MA","32","0 Gainsborough Street, Fenway/Kenmore, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1097,795,1513
"885","1 Lincoln St, Boston, MA","33","200 Prospect Avenue, Revere","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1186,739,1902
"885","1 Lincoln St, Boston, MA","37","0 Perrin Street, Roxbury, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1185,809,1735
"885","1 Lincoln St, Boston, MA","38","McLean Street, Belmont","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1909,1423,2560
"885","1 Lincoln St, Boston, MA","40","0 Aycliffe Road, Swampscott","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2856,2107,3871
"885","1 Lincoln St, Boston, MA","41","200 Sumner Street, East Boston, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1071,703,1629
"885","1 Lincoln St, Boston, MA","44","0 Georgetown Road, Boxford","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3135,2446,4018
"885","1 Lincoln St, Boston, MA","46","300 River Street, Cambridgeport, Cambridge","5/29/2017 - 8/24/2017, Weekdays, PM Peak",905,573,1428
"885","1 Lincoln St, Boston, MA","47","200 Huntington Avenue, Prudential / St. Botolph, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",830,382,1802
"885","1 Lincoln St, Boston, MA","48","100 Gove Street, East Boston, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1104,709,1718
"885","1 Lincoln St, Boston, MA","51","0 Peterborough Street, West Fens, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1095,646,1854
"885","1 Lincoln St, Boston, MA","52","0 Berkshire Street, Wellington-Harrington, Cambridge","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1365,965,1930
"885","1 Lincoln St, Boston, MA","53","600 Commonwealth Avenue, Fenway/Kenmore, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",548,249,1201
"885","1 Lincoln St, Boston, MA","54","0 Binney Street, Arefth, Cambridge","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1179,807,1720
"885","1 Lincoln St, Boston, MA","56","Interstate 195, New Bedford","5/29/2017 - 8/24/2017, Weekdays, PM Peak",5265,4314,6425
"885","1 Lincoln St, Boston, MA","58","100 Summit Avenue, Corey Hill, Brookline","5/29/2017 - 8/24/2017, Weekdays, PM Peak",1584,1173,2137
"885","1 Lincoln St, Boston, MA","59","300 Shea Memorial Drive, SouthField, Weymouth","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2541,1944,3320
"885","1 Lincoln St, Boston, MA","60","Pilgrims Highway, Weymouth","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2118,1392,3221
"885","1 Lincoln St, Boston, MA","61","0 Eagle Lane, Wrentham","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3242,2408,4364
"885","1 Lincoln St, Boston, MA","62","200 Pond Street, Avon","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2502,1760,3554
"885","1 Lincoln St, Boston, MA","63","100 Highland Street, Brockton","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2632,1838,3767
"885","1 Lincoln St, Boston, MA","65","0 Glen Road, Reading","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2052,1527,2757
"885","1 Lincoln St, Boston, MA","67","0 Nightingale Lane, Salem","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3404,2741,4226
"885","1 Lincoln St, Boston, MA","68","100 Beacon Street, Back Bay East, Boston","5/29/2017 - 8/24/2017, Weekdays, PM Peak",649,400,1052
"885","1 Lincoln St, Boston, MA","69","0 Burrill Avenue, Lynn","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2657,1953,3614
"885","1 Lincoln St, Boston, MA","70","0 Crimson Street, Raynham","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3180,2836,3565
"885","1 Lincoln St, Boston, MA","72","0 Stonington Street, North Andover","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2845,2009,4028
"885","1 Lincoln St, Boston, MA","74","700 Washington Street, Haverhill","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3196,2552,4001
"885","1 Lincoln St, Boston, MA","76","0 3rd Street, Hull","5/29/2017 - 8/24/2017, Weekdays, PM Peak",3226,2583,4028
"885","1 Lincoln St, Boston, MA","77","0 The Mountain Road, Framingham","5/29/2017 - 8/24/2017, Weekdays, PM Peak",2298,1628,3243
