"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","3","0 Flaherty Way, D Street / West Broadway, Boston","5/28/2017 - 8/26/2017, Weekdays, PM Peak",646,368,1131
"885","1 Lincoln St, Boston, MA","5","0 Queensberry Street, Fenway/Kenmore, Boston","5/28/2017 - 8/26/2017, Weekdays, PM Peak",1298,948,1776
"885","1 Lincoln St, Boston, MA","13","200 Liberty Street, Braintree","5/28/2017 - 8/26/2017, Weekdays, PM Peak",2218,1547,3179
"885","1 Lincoln St, Boston, MA","14","400 Cushing Street, Hingham","5/28/2017 - 8/26/2017, Weekdays, PM Peak",2609,1913,3557
"885","1 Lincoln St, Boston, MA","16","100 Kenrick Street, Oak Square, Boston","5/28/2017 - 8/26/2017, Weekdays, PM Peak",1715,1222,2405
"885","1 Lincoln St, Boston, MA","17","0 Maggi Road, Revere","5/28/2017 - 8/26/2017, Weekdays, PM Peak",1612,1026,2530
"885","1 Lincoln St, Boston, MA","18","0 Lake Street, Billerica","5/28/2017 - 8/26/2017, Weekdays, PM Peak",2889,2128,3920
"885","1 Lincoln St, Boston, MA","19","200 Ocean Street, Lynn","5/28/2017 - 8/26/2017, Weekdays, PM Peak",2577,1959,3389
"885","1 Lincoln St, Boston, MA","20","0 Florence Street, Everett","5/28/2017 - 8/26/2017, Weekdays, PM Peak",1638,1097,2444
"885","1 Lincoln St, Boston, MA","21","0 Canal Lane, Somerville","5/28/2017 - 8/26/2017, Weekdays, PM Peak",1044,643,1694
"885","1 Lincoln St, Boston, MA","22","200 Chicago Street, Fall River","5/28/2017 - 8/26/2017, Weekdays, PM Peak",4727,3985,5605
"885","1 Lincoln St, Boston, MA","23","0 Ocallaghan Way, Lynn","5/28/2017 - 8/26/2017, Weekdays, PM Peak",2712,2007,3663
"885","1 Lincoln St, Boston, MA","24","Blue Star Memorial Highway, Bourne","5/28/2017 - 8/26/2017, Weekdays, PM Peak",5433,4517,6533
"885","1 Lincoln St, Boston, MA","25","0 Baldpate Road, Georgetown","5/28/2017 - 8/26/2017, Weekdays, PM Peak",3151,2402,4132
"885","1 Lincoln St, Boston, MA","27","100 Inner Belt Road, Inner Belt, Somerville","5/28/2017 - 8/26/2017, Weekdays, PM Peak",853,478,1520
"885","1 Lincoln St, Boston, MA","28","0 Lincoln Road, Brookline","5/28/2017 - 8/26/2017, Weekdays, PM Peak",1862,1374,2522
"885","1 Lincoln St, Boston, MA","29","100 Crosby Street, Arlington","5/28/2017 - 8/26/2017, Weekdays, PM Peak",2077,1493,2888
